"code","iso","country","FGG.raw.2000","FGG.raw.2001","FGG.raw.2002","FGG.raw.2003","FGG.raw.2004","FGG.raw.2005","FGG.raw.2006","FGG.raw.2007","FGG.raw.2008","FGG.raw.2009","FGG.raw.2010","FGG.raw.2011","FGG.raw.2012","FGG.raw.2013","FGG.raw.2014","FGG.raw.2015","FGG.raw.2016","FGG.raw.2017","FGG.raw.2018","FGG.raw.2019","FGG.raw.2020","FGG.raw.2021","FGG.raw.2022"
4,"AFG","Afghanistan",NA,NA,5.98734378556955e-09,6.79991802210319e-09,8.05285879087497e-09,8.6332878031469e-09,8.62556506832336e-09,7.7293866696459e-09,7.72913266569728e-09,6.58741065429642e-09,5.72510128378613e-09,5.73566292049272e-09,5.19519244622575e-09,5.05143160118939e-09,5.37356507386079e-09,5.87272635398074e-09,6.55352166329489e-09,7.16083831318921e-09,8.00260124393855e-09,8.50331404554419e-09,9.52931714387501e-09,1.31675122983831e-08,NA
8,"ALB","Albania",1.28005481575314e-09,1.63352911606848e-09,1.97513762268294e-09,2.31773168558677e-09,2.62807102030671e-09,2.97778835707266e-09,2.96001201602906e-09,2.8481010028635e-09,2.75550799074218e-09,2.75550127001334e-09,2.64104004609581e-09,2.59105477269514e-09,2.60704878640263e-09,2.65111095298368e-09,2.84685639553922e-09,3.09776208343366e-09,3.42266399219603e-09,3.67878526079148e-09,4.00818707087763e-09,4.33680391318707e-09,4.90950477439157e-09,4.92215675278035e-09,5.02011034250572e-09
12,"DZA","Algeria",2.00080122255414e-09,2.29081560574076e-09,2.47535171609189e-09,2.63262404198191e-09,2.84644168616999e-09,3.04394182076869e-09,3.16247828356083e-09,3.14041346548641e-09,3.22681750444582e-09,3.28099326522935e-09,3.21765362690337e-09,3.17621509968932e-09,3.16702358761392e-09,3.19658037426291e-09,3.30271351952015e-09,3.46462558735471e-09,3.71168180069297e-09,4.03457098692508e-09,4.39353943076748e-09,4.73268136337091e-09,5.36900381111225e-09,5.62345488276042e-09,5.77287275482909e-09
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74102139102208e-09,5.83989361730821e-09,6.02098897014043e-09,6.0814383109675e-09,5.75042542755079e-09,5.55943830662776e-09,5.29297621126917e-09,4.99241082572346e-09,4.49457043250774e-09,3.93735365362863e-09,4.04764076271453e-09,3.62078826595764e-09,3.02549991891443e-09
24,"AGO","Angola",8.08852092257626e-10,1.07207889072419e-09,1.18715100045988e-09,1.43821334807195e-09,1.54408823786321e-09,1.60748789175482e-09,1.51532773855737e-09,1.35517941159244e-09,1.26590059967048e-09,1.30159211487774e-09,1.2356233946374e-09,1.20491968507514e-09,1.12991735747857e-09,1.10490810388364e-09,1.15317576806869e-09,1.26734605078244e-09,1.4841379031418e-09,1.665234521916e-09,1.91058097837064e-09,2.12539753784421e-09,2.46572455465574e-09,2.66691974365579e-09,2.75937304973178e-09
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",2.66480652355366e-09,3.64078271649101e-09,5.40230820141885e-09,6.34595392298676e-09,7.07379922335651e-09,7.76916387264713e-09,7.77851304132401e-09,7.27059843941557e-09,7.06270965231811e-09,7.5299713982301e-09,6.65001575657919e-09,6.20453586514979e-09,6.2788157764857e-09,6.24775505934988e-09,7.52335410449678e-09,8.07892482927538e-09,9.22994705019452e-09,9.91022498862024e-09,1.1362208347057e-08,1.27032016845259e-08,1.5337227998385e-08,1.50081041514416e-08,1.52239659342709e-08
51,"ARM","Armenia",2.19691862658076e-09,2.76075975107558e-09,3.08097342724424e-09,3.35123425414991e-09,3.62493207283874e-09,3.80641013517886e-09,3.54226201908586e-09,3.17515571368517e-09,3.08849388938888e-09,3.717851114e-09,3.61536342050652e-09,3.47451680417563e-09,3.30450962097984e-09,3.29255635022993e-09,3.45856759475965e-09,3.71363061456542e-09,4.24859157014941e-09,4.42868195990999e-09,4.76930061381877e-09,4.87815528719577e-09,5.76361774694378e-09,5.95769731024313e-09,5.64974155621094e-09
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",5.43336122904887e-09,5.44506958684375e-09,6.20082525926173e-09,6.73735666118876e-09,7.29081422500227e-09,7.60177493736045e-09,7.61362277524017e-09,8.05486433453476e-09,6.95757309803784e-09,7.63454441403507e-09,7.3082126257851e-09,7.73889308355145e-09,6.9453851008174e-09,7.37201398971005e-09,7.73671472942603e-09,8.53583020154563e-09,8.30035782235264e-09,8.10675429888543e-09,7.93673997565247e-09,8.71110115481378e-09,9.03537227123438e-09,9.15058200475482e-09,9.05754750895431e-09
40,"AUT","Austria",3.6530037630257e-09,4.19082602804532e-09,4.33148297405139e-09,4.44618307884993e-09,4.45362070638621e-09,4.30665319751604e-09,4.0439270317999e-09,4.01327464881834e-09,4.00071328085285e-09,3.80490853902533e-09,4.05915727387457e-09,3.98870237636693e-09,4.13980080741718e-09,4.18324786926416e-09,4.31050291302605e-09,4.48604336339722e-09,4.65601257916221e-09,4.7420171984726e-09,4.6911850148244e-09,4.52016886807546e-09,4.87516941546491e-09,4.70396006066157e-09,4.6569381760534e-09
